,prompt,completion
0,Qual navegador devo utilizar?,"Resposta O nosso sistema deve ser acessado utilizando apenas o navegador Google Chrome. Algumas dicas para um melhor desempenho Use uma aba na versão anônima ou nova janela sem registro.

"
1,Soluão para Lentidão ou Indisponibilidade?,"Resposta Caso enfrente lentidão ou indisponibilidade, siga as etapas a seguir
1. Certifiquese de que está utilizando o navegador Google Chrome, de preferência, em uma aba anônima.
2. Limpe a memória cache do seu navegador.
3. Verifique com o setor de tecnologia da sua empresa se os seguintes sites estão liberados para acesso
 noreplaynewcontract.contractweb.com.br
 newcontract.contractweb.com.br
 contractweb.com.br
 privacytools.com.br
 privacytools.io
 bamcell.nrdata.net
 nrdata.net
 fast.conpass.io
 conpass.io
 google.com
 goo.gl
 ssl.googleanalytics.com
 rawgit.com
 cdn.privacytools.com.br
 chat.movidesk.com
 movidesk.com
4. Em caso negativo, solicite a liberaão desses sites, pois são usados dentro da aplicaão do NewContract.

"
2,Como acessar o chat no sistema? Como acessar o chat? Como acessar o chat do newContract?,"Resposta Para conseguir acessar o chat, siga os 10 passos abaixo ou assita o vídeo
Link sobre como acessar o chat httpswww.youtube.comwatch?vmaMpKleFEws
Passo 1 Acesse o sistema Contract, no canto inferior direito do sistema, clique no ícone de chat.
Passo 2 Para iniciar um atendimento, clique na opão Iniciar atendimento.
Passo 3 Preencha os dados solicitados e depois clique em Enviar.
Passo 4 Confirme os dados e clique em Sim, estão certos.
Passo 5 Para abrir um novo protocolo, clique em Não. Se você já tem um protocolo aberto, clique em Sim, já abri e informe o número.
Passo 6 Selecione o assunto do atendimento e depois clique em Confirmar.
Passo 7 Para Mobilizaão de Trabalhadores, escolha o tipo de servio e depois clique em Confirmar.
Passo 8 Você receberá um link com o passo a passo do procedimento desejado.
Passo 9 Se o link não ajudar, clique em NÃO. Se sua dúvida não se encaixa nas opões anteriores, escolha outras opões.
Passo 10 Após seguir essas orientaões, aguarde a interaão do atendente.
Observaões
 Para descobrir como acessar o chat assista o tutorial httpswww.youtube.comwatch?vmaMpKleFEws
 Para Homologaão, Monitoramento Mensal ou BEXUP, você será direcionado à fila após a escolha.

"
3,Como localizar as competências mensais?,"Resposta Para localizar as competências, siga estas orientaões
Passo 1 Clique na aba Carregamento de Documentos e em seguida, clique em Carregar Mensal.
Passo 2 No campo de busca, digite o número do contrato, depois clique em Pesquisar e o sistema exibirá todas as competências relacionadas ao contrato.
Passo 3 Para filtrar por competência, utilize o filtro Competência na tela de carregamento, depois selecione o mês desejado para filtrar as competências.
Observaões
 O número do contrato pode conter números, letras ou caracteres especiais, como por exemplo 123teste.
 Certifiquese de inserir o número de contrato corretamente para que o sistema possa localizar as competências.
 Caso contrário, o sistema não será capaz de encontrar as competências.

"
4,Como limpar a memória cache Cookies do navegador?,"Resposta O sistema pode apresentar inconsistências ou ficar lento se você não estiver utilizando o navegador Google Chrome, ou estiver com a memória cache cheia. Para limpar os cookies da página Memória cache faa o procedimento a seguir
 Clique no ícone do cadeado ao lado esquerdo do link do portal Barra de endereo.
 Ao clicar no cadeado, clique na opão cookies.
 Ao clicar em cookies, irá mostrar alguns links na tela, clique em remover. Ao excluir todos os links, clique em concluído.
 Feito esse procedimento, atualize a página clicando em F5 no seu teclado, ou clicando em Recarregar esta página no navegador.
 Faa o login novamente e siga com o procedimento que estava tentando realizar.

"
5,"Este é o meu primeiro acesso como definir senha, atualizar dados e termos de uso?","Resposta Olá, Fornecedor! Seja bemvindoa a Gestão de Riscos com Terceiros da Bernhoeft.
 Para realizar o seu primeiro acesso no sistema, siga as instruões a seguir
 Ao ser cadastrado no portal Bernhoeft, você receberá um email contendo o link de redefinião de senha e o link do sistema, conforme destacado abaixo
 Para acessar o sistema, primeiro você deve clicar no link para definir a sua senha, conforme orientaões a seguir
 Ao clicar no link, você será direcionado para a seguinte tela
 Ao clicar em redefinir senha, o sistema exibirá a seguinte mensagem
 Com a senha definida, acesse o link do sistema enviado por email e insira as suas credenciais
 No seu primeiro acesso, será necessário preencher os campos abaixo
 Pronto! Ao seguir essas orientaões, você concluiu o primeiro acesso ao sistema NewContract. Os próximos passos te ensinarão a cadastrar colaboradores e enviar a documentaão.

"
6,"Não recebi o email com a recuperaão de senha, como proceguir?","Resposta Para receber a recuperaão de senha, siga as orientaões descritas neste passo a passo
 Caso você tenha clicado em Esqueci a senha mas não tenha localizado o email de recuperaão ou não tenha recebido a senha para fazer o seu primeiro acesso, siga as orientaões abaixo
 Sempre utilize o navegador Google Chrome para atividades relacionadas ao NewContract.
 Antes de clicar em Esqueci a senha, realize a limpeza de cookies do navegador, pois pode haver um deles que pode estar corrompido, impedindo a solicitaão de recuperaão de senha.
 Caso seja solicitada a senha esqueci a senha por meio de uma máquina corporativa e não chegar o email de recuperaão, realize a aão utilizando o celular pessoal eou computador pessoal.
 Verifique se o link está chegando na caixa de spam ou na caixa de lixeira.
 Para aqueles que utilizam aplicativos de email Aplicativo do Outlook, por exemplo, se a caixa de email estiver quase na capacidade máxima, o tempo de sincronizaão que o aplicativo vai levar para atualizar pode ser demorado, fazendo com que, no momento em que o email de recuperaão de senha chegar, o link pode estar expirado por conta do tempolimite que ele possui 30 minutos. Diante disso, recomendamos que utilize o email no navegador Google Chrome, pois ao contrário do aplicativo, pelo navegador o email não passa por essa sincronizaão.
 Verifique se a rede corporativa possui alguma restrião com relaão ao nosso endereo que envia o link para redefinião de senha noreplybernhoeftauthprod.firebaseapp.com. Além disso, verifique se solicitando a recuperaão de senha por meio de uma rede de internet pessoal internet residencial ou 4G, por exemplo o link chega.
 Caso use VPN nas atividades, verifique se possui alguma restrião com o endereo mencionado no ponto anterior.
 Verifique com o time de T.I da sua empresa se os sites listados a seguir estão habilitados como confiáveis
 Lista de sites para liberar para funcionamento do NewContract
 newcontract.contractweb.com.br
 contractweb.com.br
 privacytools.com.br
 privacytools.io
 bamcell.nrdata.net
 nrdata.net
 fast.conpass.io
 conpass.io
 google.com
 goo.gl
 ssl.googleanalytics.com
 rawgit.com
 cdn.privacytools.com.br
 chat.movidesk.com
 movidesk.com

"
7,"Esqueci a senha, como redefinir a senha de acesso?","Resposta Para alterar ou obter uma nova senha, siga o passo a passo abaixo ou assista o vídeo tutorial no final da página
1. Clique em Redefinir minha senha.
2. Digite o email cadastrado e clique em Redefinir.
3. Após clicar em Redefinir, a seguinte mensagem será exibida
4. Verifique no seu email caixa de entrada, spam, lixo eletrônico o link enviado para redefinião. Clique no ícone abaixo
5. Ao acessar o link, crie uma nova senha preenchendo os campos Nova senha e Confirme a nova senha atendendo os critérios de definião. Posteriormente, clique em Redefinir senha.
6. Após criar a nova senha, informe os dados de acesso Login, Senha, clique em Não sou um robô e depois Entrar.
Observaão Caso não tenha recebido a recuperaão de senha por email verifique também no SPAM e lixo eletrônico. Caso não localize o email, verifique com o setor de TI da sua empresa se existe algum bloqueio no servidor para receber emails de noreplynewcontract.contractweb.com.br.

"
8,Como Identificando os Tipos de Servio?,"Resposta A Bernhoeft possui vários tipos de servio, que são
1. Homologaão de Fornecedores
 Nesse servio, realizamos uma análise nos documentos da possível contratada, com foco na saúde financeira. Na Homologaão, as empresas ainda estão no processo de avaliaão da oferta de seus servios. A intenão é encontrar indícios de comprometimento financeiro, histórico de passivos na justia, regularidade perante as dívidas e outros fatores que podem acarretar na insolvência do fornecedor durante o contrato com os nossos clientes.
 Sistema Contract V2
 Link httpsv2.contractweb.com.brdocumentsclientemaininicio.asp
2. Monitoramento Mensal
 O monitoramento mensal se trata de um acompanhamento nas documentaões trabalhistas e previdenciárias das empresas terceirizadas. Mensalmente analisamos documentos como GFIP, eSocial, Cartão de Ponto, Comprovante de Pagamento de Salários e outros.
 Sistema Definido pelo contratante, pois pode ocorrer em qualquer sistema Contract V1, Contract V2 e NewContract.
3. Mobilizaão de Trabalhadores
 A mobilizaão é um processo de análise que comprova a regularidade do trabalhador conforme a saúde e segurana ocupacional. A intenão é assegurar que os trabalhadores terceirizados só entrem na empresa e realizem o servio quando estiverem com todas as documentaões conformes, reduzindo os riscos de acidente de trabalho. Após a aprovaão de todos os documentos, o colaborador é liberado para realizar a integraão na contratante.
 Sistema Ocorre unicamente no sistema NewContract
 Link httpsnewcontract.contractweb.com.br

"
9,Como informar férias do colaborador?,"Resposta Veja a seguir as informaões
 Na etapa 4 do carregamento mensal, marque a flag de férias do colaborador na competência em que se iniciou o período de gozo.
 Após a marcaão, não esquea de clicar no botão de salvar no final da página.
 Caso você já tenha passado da etapa 4, na etapa 8 há a opão de aão. Clicando nesse botão, o sistema irá retornar na etapa 4 e você poderá informar as férias do colaborador.
"
